INTERSECTION,CAMERA ID,ADDRESS,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
BROADWAY/SHERIDAN AND DEVON,1123,1200 W DEVON AVE,7/18/2014,6,1167109.644,1942688.148,41.99829823,-87.66061166,"(41.99829822771884, -87.66061166063517)"
PULASKI AND NORTH,1992,1600 N PULASKI AVENUE,7/28/2014,3,1149432.959,1910369.113,41.90997501,-87.72648052,"(41.909975010236906, -87.72648052306623)"
DAMEN AND FULLERTON,1662,2400 N DAMEN AVE,8/14/2014,2,1162574.443,1915955.082,41.92503801,-87.67804719,"(41.925038006410325, -87.67804719101314)"
35TH AND WESTERN,2092,3500 S WESTERN,9/11/2014,4,1160894.95,1881376.851,41.83018726,-87.68517793,"(41.83018725526863, -87.68517792510231)"
ASHLAND AND ARCHER,2301,3100 S ASHLAND AVENUE,7/4/2014,5,1166131.325,1884126.425,41.83762234,-87.66588718,"(41.83762234415814, -87.66588718054551)"
WENTWORTH AND GARFIELD,2261,5500 S WENTWORTH AVEN,9/27/2014,8,,,,,
PULASKI AND DIVISION,1802,1200 N PULASKI ROAD,8/15/2014,3,1149459.591,1907723.22,41.9027139,-87.72645146,"(41.902713901936174, -87.72645145715836)"
DIVERSEY AND AUSTIN,1454,6000 W DIVERSEY AVENUE,7/16/2014,1,1135895.736,1918029.707,41.93124862,-87.77602861,"(41.931248623643455, -87.77602861172493)"
CICERO AND 47TH,2204,4800 W 47TH ST,9/9/2014,7,1145130.049,1873078.442,41.80772702,-87.74322937,"(41.80772701677172, -87.74322936566276)"
HAMLIN AND MADISON,1903,3800 W MADISON STREET,7/25/2014,6,1151032.709,1899784.034,41.88089727,-87.72088123,"(41.880897273491264, -87.72088122613924)"
HOMAN/KIMBALL AND NORTH,1773,3400 W NORTH AVE,9/9/2014,8,1153386.579,1910465.871,41.91016285,-87.71195387,"(41.91016284680269, -87.71195386769125)"
HALSTED AND NORTH,1764,800 W NORTH AVENUE,9/11/2014,3,1170700.684,1910913.191,41.91102851,-87.64833581,"(41.91102850981186, -87.64833580602037)"
STATE AND 79TH,2651,7900 S STATE STREET,8/18/2014,1,1177618.167,1852621.87,41.75091814,-87.62469012,"(41.7509181383154, -87.62469012251644)"
SHERIDAN AND FOSTER,1132,5200 N SHERIDAN ROAD,8/17/2014,1,1168661.624,1934753.842,41.97649272,-87.65513361,"(41.97649272077833, -87.65513360456677)"
WESTERN AND DEVON,1212,6400 N WESTERN AVENUE,9/10/2014,1,1159113.586,1942451.622,41.99781781,-87.69003304,"(41.997817807026, -87.69003303469276)"
75TH AND STATE,2621,7500 S STATE STREET,7/2/2014,20,1177538.763,1855235.551,41.75809218,-87.62490223,"(41.75809217638291, -87.6249022282473)"
FOSTER AND BROADWAY,1111,5200 N BROADWAY ST,8/22/2014,4,1167334.509,1934714.008,41.97641214,-87.66001508,"(41.97641214294823, -87.66001508205365)"
KEDZIE AND 47TH,2104,3200 W 47TH ST,9/14/2014,3,1155815.232,1873336.17,41.80822625,-87.70403167,"(41.808226246244026, -87.70403167215984)"
ASHLAND AND 47TH,2191,4700 S ASHLAND AVENUE,9/6/2014,5,1166423.624,1873520.235,41.8085116,-87.66511729,"(41.8085115972472, -87.66511729173287)"
WESTERN AND ADDISON,1562,3600 N WESTERN AVENUE,8/2/2014,12,1159695.573,1923871.086,41.94681992,-87.68840666,"(41.94681991986288, -87.68840666206194)"
119TH AND HALSTED,2402,11900 S HALSTED,8/25/2014,5,1173094.775,1825911.055,41.67772083,-87.64205185,"(41.67772082924762, -87.64205184498218)"
DIVERSEY AND AUSTIN,1453,6000 W DIVERSEY AVENUE,8/15/2014,8,1135895.736,1918029.707,41.93124862,-87.77602861,"(41.931248623643455, -87.77602861172493)"
PULASKI AND DIVISION,1801,1200 N PULASKI ROAD,7/6/2014,4,1149459.591,1907723.22,41.9027139,-87.72645146,"(41.902713901936174, -87.72645145715836)"
55TH and PULASKI,2244,4000 W 55TH ST,7/29/2014,2,1150621.677,1867864.275,41.79331333,-87.72322304,"(41.79331333358753, -87.72322303812588)"
ASHLAND AND 87TH,2454,1600 W 87TH ST,12/11/2014,8,1167171.941,1847064.855,41.73589862,-87.66312878,"(41.735898617066006, -87.66312878090133)"
HALSTED AND MADISON,1872,1 N HALSTED STREET,10/8/2014,4,1171090.968,1900270.454,41.88181563,-87.64721472,"(41.88181563164203, -87.64721471704077)"
WESTERN AND 51ST,2172,5100 S WESTERN BLVD,8/26/2014,3,1161345.691,1870773.194,41.8010802,-87.68381821,"(41.801080203554356, -87.68381820888895)"
55TH AND WESTERN,2212,5500 S WESTERN AVE,7/27/2014,9,1161269.521,1867963.112,41.79337055,-87.68417538,"(41.79337055433029, -87.6841753767592)"
WESTERN AND FOSTER,1074,2400 W FOSTER AVE,7/2/2014,5,1159379.403,1934502.712,41.97600019,-87.68927508,"(41.97600018976586, -87.68927508385399)"
CICERO AND FULLERTON,1474,4800 W FULLERTON AVE,7/6/2014,4,1143967.571,1915568.505,41.92434704,-87.74642764,"(41.924347036010694, -87.74642763965628)"
WESTERN AND 71ST,2612,7100 S WESTERN AVENUE,10/6/2014,5,1161563.705,1857484.211,41.76460891,-87.68338705,"(41.76460891223613, -87.68338705328121)"
STONY ISLAND/CORNELL AND 67TH,2731,6700 S CORNELL DRIVE,10/7/2014,1,1188316.455,1860851.137,41.77325149,-87.5852246,"(41.77325148959568, -87.58522459967712)"
IRVING PARK AND CALIFORNIA,1234,2800 W IRVING PARK ROA,8/10/2014,21,,,,,
WESTERN AND 63RD,2373,2400 W 63RD ST,9/7/2014,1,1161444.416,1862848.535,41.77933184,-87.68367576,"(41.77933184429814, -87.68367576084798)"
FOSTER AND BROADWAY,1111,5200 N BROADWAY ST,8/5/2014,4,1167334.509,1934714.008,41.97641214,-87.66001508,"(41.97641214294823, -87.66001508205365)"
HALSTED AND 95TH,2582,9500 S HALSTED STREET,12/11/2014,2,1172610.538,1841811.619,41.72136506,-87.64335804,"(41.72136506078306, -87.64335804234075)"
71ST AND ASHLAND,2391,7100 S ASHLAND,9/17/2014,2,1166868.38,1857616.168,41.76485938,-87.66394018,"(41.764859382425385, -87.66394017630476)"
ELSTON AND ADDISON,1402,3600 N ELSTON AVE,7/30/2014,1,1154106.953,1923731.036,41.94654917,-87.70895263,"(41.94654916480637, -87.70895262603513)"
LARAMIE AND MADISON,2043,5200 W MADISON STREET,7/20/2014,7,1141706.966,1899567.557,41.88048075,-87.75513043,"(41.88048075170171, -87.75513043296509)"
DAMEN AND 63RD,2701,6300 S DAMEN AVENUE,7/9/2014,2,1164069.408,1862830.277,41.77922692,-87.67405273,"(41.77922692069256, -87.67405273137854)"
WESTERN AND FOSTER,1072,5200 N WESTERN AVE,8/17/2014,3,1159372.922,1934478.314,41.97593337,-87.68929959,"(41.97593337199358, -87.6892995891816)"
HALSTED AND NORTH,1761,1600 N HALSTED STREET,7/10/2014,4,1170678.283,1910880.991,41.91094064,-87.64841904,"(41.91094064391597, -87.64841904272998)"
ARCHER AND CICERO,2081,5200 S CICERO AVE,8/1/2014,18,1145195.932,1869737.708,41.79855828,-87.74307187,"(41.798558278193305, -87.74307186616427)"
CICERO AND I55,2251,4200 S CICERO AVENUE,7/8/2014,52,1145023.743,1876358.277,41.81672939,-87.74353671,"(41.81672938674739, -87.74353671247594)"
PULASKI AND NORTH,1992,1600 N PULASKI AVENUE,9/22/2014,2,1149432.959,1910369.113,41.90997501,-87.72648052,"(41.909975010236906, -87.72648052306623)"
DAMEN AND DIVERSEY,1464,2000 W DIVERSEY PARKWAY,8/4/2014,1,1162519.715,1918635.418,41.93239416,-87.67817303,"(41.93239416403691, -87.67817303087757)"
CALIFORNIA AND DIVERSEY,1514,2800 W DIVERSEY,9/11/2014,29,1157212.543,1918526.674,41.9322054,-87.69767924,"(41.93220539506452, -87.6976792438691)"
COLUMBUS AND ILLINOIS,1952,500 N COLUMBUS DRIVE,7/21/2014,21,1178372.808,1903693.06,41.89104457,-87.62037184,"(41.891044569124276, -87.620371839074)"
JEFFERY AND 95TH,2522,9500 S JEFFERY AVE,8/4/2014,5,1191132.421,1842335.736,41.72237591,-87.5754999,"(41.72237590704101, -87.57549990332795)"
PULASKI AND NORTH,1994,4000 W NORTH AVENUE,7/30/2014,5,1149456.269,1910376.774,41.90999558,-87.72639469,"(41.90999558160536, -87.72639469321471)"
WESTERN AND ARMITAGE,1862,2000 N WESTERN AVENUE,9/21/2014,1,1160006.667,1913226.418,41.91760382,-87.68755788,"(41.91760381794161, -87.68755787755686)"
CENTRAL AND LAKE,1743,5600 W LAKE STREET,8/26/2014,2,1138951.496,1902230.51,41.88783874,-87.76518366,"(41.887838735330206, -87.76518366338465)"
55TH AND KEDZIE,2162,5500 S KEDZIE AVENUE,7/19/2014,1,1155945.855,1867941.621,41.79342024,-87.70369751,"(41.793420236755864, -87.70369750845424)"
ASHLAND AND ARCHER,2302,3100 S ARCHER AVENUE,9/9/2014,2,1166129.032,1884166.614,41.83773268,-87.66589445,"(41.83773267497158, -87.66589444999927)"
ADDISON AND HARLEM,1591,3600 N HARLEM AVENUE,10/13/2014,1,1127394.594,1923110.532,41.94533841,-87.80715477,"(41.94533841246591, -87.80715476912044)"
LAFAYETTE AND 87TH,2503,30 W 87TH STREET,9/19/2014,26,1177407.652,1847320.772,41.73637604,-87.62562131,"(41.736376036604916, -87.62562131092602)"
ADDISON AND HARLEM,1591,3600 N HARLEM AVENUE,8/9/2014,5,1127394.594,1923110.532,41.94533841,-87.80715477,"(41.94533841246591, -87.80715476912044)"
WESTERN AND MARQUETTE,2672,6700 S WESTERN AVENUE,8/8/2014,9,1161488.748,1860134.788,41.77188403,-87.6835884,"(41.77188402771193, -87.68358840206334)"
TOUHY AND OSCEOLA,1244,7432 W TOUHY AVENUE,7/31/2014,1,1125717.011,1947269.685,42.01166177,-87.81278143,"(42.01166176507329, -87.81278143114147)"
KEDZIE AND 26TH,2382,2600 S KEDZIE AVENUE,10/11/2014,3,1155404.236,1886524.46,41.84442483,-87.70518545,"(41.84442483084393, -87.70518545233183)"
MONTROSE AND WESTERN,1221,4400 N WESTERN AVENUE,7/9/2014,3,1159539.733,1929183.918,41.96140185,-87.68883262,"(41.961401846278505, -87.6888326227788)"
DIVERSEY AND AUSTIN,1453,6000 W DIVERSEY AVENUE,8/17/2014,1,1135895.736,1918029.707,41.93124862,-87.77602861,"(41.931248623643455, -87.77602861172493)"
JEFFERY AND 95TH,2523,2000 E 95TH ST,8/26/2014,2,1191188.381,1842410.412,41.72257947,-87.57529252,"(41.722579473126416, -87.57529252250366)"
DAMEN AND DIVERSEY,1462,2800 N DAMEN AVENUE,8/4/2014,2,1162490.049,1918611.624,41.93232949,-87.67828272,"(41.9323294940985, -87.67828271931386)"
ROOSEVELT AND HALSTED,2234,800 W ROOSEVELT ROAD,7/13/2014,5,1171199.282,1894968.056,41.8672631,-87.64697269,"(41.86726309836901, -87.64697268601648)"
79TH AND HALSTED,2543,800 W 79TH STREET,7/23/2014,7,1172320.106,1852517.981,41.75075116,-87.64410779,"(41.75075115747316, -87.64410779300933)"
CICERO AND ARMITAGE,2001,2000 N CICERO AVENUE,8/1/2014,2,1144031.526,1912881.83,41.91697333,-87.74626022,"(41.91697332451097, -87.74626022251057)"
DAMEN AND 63RD,2701,6300 S DAMEN AVENUE,8/2/2014,3,1164069.408,1862830.277,41.77922692,-87.67405273,"(41.77922692069256, -87.67405273137854)"
ASHLAND AND FULLERTON,1651,2400 N ASHLAND AVENUE,8/26/2014,3,1165228.073,1916032.319,41.92519389,-87.66829436,"(41.92519388981048, -87.66829436339881)"
HAMLIN AND LAKE,1881,300 N HAMLIN AVENUE,9/30/2014,7,1150970.027,1901381.688,41.88528264,-87.72106954,"(41.88528263580913, -87.72106953854511)"
FOSTER AND NAGLE,1034,6400 W FOSTER,8/9/2014,1,1132552.893,1934229.876,41.97576257,-87.7879343,"(41.97576257447203, -87.7879342955108)"
SHERIDAN AND FOSTER,1134,1000 W FOSTER AVE,8/3/2014,4,1168689.248,1934758.578,41.97650512,-87.65503188,"(41.97650511595711, -87.65503188224778)"
AUSTIN AND IRVING PARK,1161,4000 N AUSTIN AVENUE,10/9/2014,2,1135599.956,1926006.863,41.95314406,-87.77692528,"(41.95314405904539, -87.77692528423394)"
CICERO AND ADDISON,1611,3600 N CICERO AVENUE,7/14/2014,6,1143698.905,1923517.006,41.94616352,-87.74721517,"(41.94616352362556, -87.74721516897007)"
HAMLIN AND LAKE,1881,300 N HAMLIN AVENUE,7/1/2014,8,1150970.027,1901381.688,41.88528264,-87.72106954,"(41.88528263580913, -87.72106953854511)"
HALSTED AND 83RD,2641,8300 S HALSTED STREET,7/25/2014,6,1172378.203,1849790.2,41.74326449,-87.64397498,"(41.743264490643654, -87.64397498015705)"
CERMAK AND PULASKI,2332,2200 S PULASKI,7/16/2014,4,1150012.877,1889071.759,41.85152144,-87.72490479,"(41.85152144233116, -87.7249047867499)"
PULASKI AND ARCHER,2154,5000 S ARCHER AVE,8/7/2014,2,1150501.819,1871162.312,41.80236597,-87.72357677,"(41.80236597333895, -87.72357676611004)"
CLARK AND IRVING PARK,1093,1300 W IRVING PARK ROAD,9/1/2014,6,1166777.545,1926719.737,41.95448757,-87.6622935,"(41.95448756687966, -87.66229349585691)"
CENTRAL AND BELMONT,1604,5600 W BELMONT AVENUE,8/20/2014,3,1138453.617,1920755.973,41.93868378,-87.76656249,"(41.93868377475747, -87.76656249384537)"
99TH AND HALSTED,2431,9900 S HALSTED ST,9/26/2014,1,1172689.754,1839171.652,41.71411887,-87.64314541,"(41.714118868089905, -87.64314540818165)"
ASHLAND AND ARCHER,2302,3100 S ARCHER AVENUE,7/27/2014,7,1166129.032,1884166.614,41.83773268,-87.66589445,"(41.83773267497158, -87.66589444999927)"
VINCENNES AND 111TH,2532,11100 S VINCENNES AVE,9/20/2014,6,1167202.128,1831126.639,41.692161,-87.66347247,"(41.69216099874656, -87.66347246868617)"
LAFAYETTE AND 87TH,2503,30 W 87TH STREET,7/28/2014,8,1177407.652,1847320.772,41.73637604,-87.62562131,"(41.736376036604916, -87.62562131092602)"
WESTERN AND 71ST,2612,7100 S WESTERN AVENUE,8/31/2014,18,1161563.705,1857484.211,41.76460891,-87.68338705,"(41.76460891223613, -87.68338705328121)"
KIMBALL AND DIVERSEY,1583,3400 W DIVERSEY AVENUE,8/21/2014,1,1153211.149,1918454.478,41.93208775,-87.71238583,"(41.932087747378944, -87.71238582951281)"
MILWAUKEE AND MONTROSE,1362,4400 N MILWAUKEE AVEN,8/12/2014,1,1141643.943,1928770.256,41.96061723,-87.75463824,"(41.9606172296957, -87.75463824007085)"
MILWAUKEE AND MONTROSE,1364,5075 W MONTROSE AVENUE,8/14/2014,6,1141716.747,1928736.077,41.96052209,-87.75437142,"(41.96052208819935, -87.75437142402293)"
ASHLAND AND 63RD,2683,1600 W 63RD STREET,9/14/2014,4,1166730.185,1862976.01,41.77957044,-87.66429388,"(41.77957043618697, -87.66429387512882)"
ASHLAND AND FULLERTON,1652,2400 N ASHLAND AVENUE,7/20/2014,11,1165228.073,1916032.319,41.92519389,-87.66829436,"(41.92519388981048, -87.66829436339881)"
HOLLYWOOD AND SHERIDAN,1344,1000 W HOLLYWOOD AVE,7/1/2014,28,1168580.229,1938090.295,41.9856498,-87.65533581,"(41.98564979859328, -87.65533580655139)"
IRVING PARK AND NARRAGANSETT,1024,6400 W IRVING PK,8/27/2014,5,1132945.939,1925946.305,41.95302475,-87.78668324,"(41.95302475075328, -87.78668323766634)"
CENTRAL AND DIVERSEY,1642,2800 N CENTRAL AVENUE,7/24/2014,7,1138516.407,1918089.499,41.93136555,-87.76639653,"(41.93136555236339, -87.76639652879172)"
WESTERN AND DEVON,1211,6400 N WESTERN AVENUE,9/30/2014,1,1159113.586,1942451.622,41.99781781,-87.69003304,"(41.997817807026, -87.69003303469276)"
ELSTON AND LAWRENCE,1284,4440 W LAWRENCE AVENUE,9/19/2014,5,1145715.061,1931571.047,41.9682264,-87.73959925,"(41.96822639754791, -87.73959925065756)"
35TH AND WESTERN,2091,3500 S WESTERN,7/15/2014,1,1160894.95,1881376.851,41.83018726,-87.68517793,"(41.83018725526863, -87.68517792510231)"
CORTLAND AND ASHLAND,1721,1900 N ASHLAND AVE,9/18/2014,8,1165348.085,1912736.454,41.91614728,-87.66794735,"(41.91614728095272, -87.66794735350443)"
ROOSEVELT AND HALSTED,2233,800 W ROOSEVELT ROAD,9/6/2014,10,1171199.282,1894968.056,41.8672631,-87.64697269,"(41.86726309836901, -87.64697268601648)"
KOSTNER AND NORTH,2012,4400 W GRAND AVE,8/26/2014,4,1146773.519,1910425.664,41.91018141,-87.73624887,"(41.910181409597406, -87.73624887040725)"
4700 WESTERN,2142,4700 S WESTERN AVENUE,7/7/2014,3,1161120.439,1873431.066,41.80837841,-87.68457072,"(41.808378407946726, -87.68457071689552)"
HALSTED AND MADISON,1872,1 N HALSTED STREET,8/14/2014,1,1171090.968,1900270.454,41.88181563,-87.64721472,"(41.88181563164203, -87.64721471704077)"
CHICAGO AND CLARK,1964,100 W CHICAGO AVENUE,7/30/2014,5,1175374.529,1905745.478,41.89674435,-87.63132125,"(41.896744346875806, -87.63132124815151)"
WESTERN AND NORTH,1851,1600 N WESTERN AVE,9/6/2014,12,1160077.474,1910605.013,41.91040902,-87.68737027,"(41.91040902362901, -87.687370268401)"
KEDZIE AND ARMITAGE,1832,2000 N KEDZIE AVENUE,7/30/2014,6,1154684.032,1913129.496,41.91744617,-87.70711607,"(41.91744617191702, -87.70711607187832)"
DIVISION AND DAMEN,1734,2000 W DIVISION,7/30/2014,6,1162815.711,1908034.673,41.90329879,-87.67738325,"(41.903298792681944, -87.67738324739636)"
IRVING PARK AND KEDZIE,1354,3200 W IRVING PARK ROAD,7/30/2014,3,1154325.14,1926458.463,41.95402905,-87.70807749,"(41.95402904691877, -87.70807749383191)"
CICERO AND ADDISON,1611,3600 N CICERO AVENUE,7/3/2014,2,1143698.905,1923517.006,41.94616352,-87.74721517,"(41.94616352362556, -87.74721516897007)"
MILWAUKEE AND DEVON,1274,6400 W DEVON AVENUE,10/7/2014,3,1132590.62,1942138.532,41.99746398,-87.78761024,"(41.99746398102873, -87.78761024341388)"
WESTERN AND CHICAGO,1943,2400 W CHICAGO AVE,9/11/2014,2,1160226.687,1905300.905,41.89585104,-87.68696894,"(41.895851041123755, -87.68696893468467)"
OGDEN AND KOSTNER,2223,4400 W OGDEN AVENUE,10/2/2014,4,1147406.592,1887689.1,41.84777752,-87.73450597,"(41.84777752280453, -87.73450596874825)"
CHICAGO AND CLARK,1963,100 W CHICAGO AVENUE,8/5/2014,10,1175374.529,1905745.478,41.89674435,-87.63132125,"(41.896744346875806, -87.63132124815151)"
4700 WESTERN,2141,4700 S WESTERN AVENUE,8/20/2014,8,1161120.439,1873431.066,41.80837841,-87.68457072,"(41.808378407946726, -87.68457071689552)"
CLARK AND IRVING PARK,1091,4000 N CLARK STREET,7/7/2014,6,1166736.15,1926699.324,41.95443244,-87.66244626,"(41.95443244141688, -87.66244625914061)"
PULASKI AND PETERSON,1262,6000 N PULASKI ROAD,7/9/2014,1,1148598.017,1939584.646,41.99016092,-87.72879075,"(41.99016092280557, -87.72879074759867)"
DAMEN AND FULLERTON,1663,2000 W FULLERTON AVE,9/23/2014,13,1162596.936,1915990.58,41.92513494,-87.67796355,"(41.92513494374925, -87.67796354553815)"
55TH AND KEDZIE,2162,5500 S KEDZIE AVENUE,7/2/2014,2,1155945.855,1867941.621,41.79342024,-87.70369751,"(41.793420236755864, -87.70369750845424)"
CICERO AND ADDISON,1612,3600 N CICERO AVENUE,9/23/2014,4,1143698.905,1923517.006,41.94616352,-87.74721517,"(41.94616352362556, -87.74721516897007)"
AUSTIN AND ADDISON,1491,3600 N AUSTIN AVENUE,10/6/2014,9,1135691.6,1923335.967,41.94581322,-87.77665216,"(41.9458132146695, -87.77665216156436)"
SACRAMENTO AND LAKE,1822,150 N SACRAMENTO BOUL,7/12/2014,1,1156319.561,1900957.489,41.88401218,-87.70143648,"(41.88401217771363, -87.7014364786693)"
CENTRAL AND ADDISON,1683,5600 W ADDISON STREET,9/16/2014,3,1138349.663,1923416.022,41.9459851,-87.76687995,"(41.94598510430888, -87.76687995165918)"
IRVING PARK AND KEDZIE,1353,3200 W IRVING PARK ROAD,7/22/2014,5,1154325.14,1926458.463,41.95402905,-87.70807749,"(41.95402904691877, -87.70807749383191)"
STONEY ISLAND AND 76TH,2631,7600 S STONY ISLAND A,9/18/2014,8,1188092.796,1854889.354,41.75689717,-87.58623429,"(41.75689717260223, -87.58623428506996)"
KOSTNER AND NORTH,2011,1600 N KOSTNER,7/6/2014,4,1146732.109,1910282.121,41.9097883,-87.73640467,"(41.90978830394343, -87.73640466739216)"
DAMEN AND 63RD,2701,6300 S DAMEN AVENUE,7/24/2014,1,1164069.408,1862830.277,41.77922692,-87.67405273,"(41.77922692069256, -87.67405273137854)"
4700 WESTERN,2142,4700 S WESTERN AVENUE,9/12/2014,14,1161120.439,1873431.066,41.80837841,-87.68457072,"(41.808378407946726, -87.68457071689552)"
BELMONT AND KEDZIE,1373,3200 W BELMONT,9/24/2014,2,1154461.588,1921143.091,41.93944056,-87.70771852,"(41.93944056117365, -87.70771851630873)"
STATE AND 79TH,2654,1 E 79TH STREET,9/27/2014,35,1177680.114,1852598.313,41.7508521,-87.62446383,"(41.75085209551078, -87.62446383210285)"
STONY ISLAND/CORNELL AND 67TH,2731,6700 S CORNELL DRIVE,9/15/2014,7,1188316.455,1860851.137,41.77325149,-87.5852246,"(41.77325148959568, -87.58522459967712)"
WESTERN AND 51ST,2172,5100 S WESTERN BLVD,7/8/2014,2,1161345.691,1870773.194,41.8010802,-87.68381821,"(41.801080203554356, -87.68381820888895)"
LARAMIE AND MADISON,2043,5200 W MADISON STREET,9/5/2014,4,1141706.966,1899567.557,41.88048075,-87.75513043,"(41.88048075170171, -87.75513043296509)"
IRVING PARK AND KEDZIE,1354,3200 W IRVING PARK ROAD,7/14/2014,6,1154325.14,1926458.463,41.95402905,-87.70807749,"(41.95402904691877, -87.70807749383191)"
CENTRAL AND LAKE,1742,400 N CENTRAL AVENUE,8/13/2014,1,1138928.478,1902217.926,41.88780462,-87.7652685,"(41.88780462053497, -87.76526849810371)"
STONY ISLAND/CORNELL AND 67TH,2731,6700 S CORNELL DRIVE,8/29/2014,18,1188316.455,1860851.137,41.77325149,-87.5852246,"(41.77325148959568, -87.58522459967712)"
BROADWAY/SHERIDAN AND DEVON,1123,1200 W DEVON AVE,7/4/2014,6,1167109.644,1942688.148,41.99829823,-87.66061166,"(41.99829822771884, -87.66061166063517)"
CORTLAND AND ASHLAND,1723,1600 W CORTLAND ST,9/12/2014,7,1165377.661,1912768.774,41.91623534,-87.66783777,"(41.91623533746878, -87.66783777212962)"
CALIFORNIA AND PETERSON,1311,6000 N CALIFORNIA AVE,7/8/2014,2,1156545.743,1939775.776,41.99052772,-87.69955208,"(41.990527717148176, -87.69955208405155)"
WESTERN AND ADDISON,1562,3600 N WESTERN AVENUE,10/7/2014,9,1159695.573,1923871.086,41.94681992,-87.68840666,"(41.94681991986288, -87.68840666206194)"
WESTERN AND NORTH,1853,2400 W NORTH AVE,7/24/2014,2,1160100.839,1910612.783,41.91042986,-87.68728422,"(41.91042986235867, -87.68728422050837)"
HALSTED AND 103RD,2593,800 W 103RD STREET,10/10/2014,4,1172778.571,1836587.755,41.70702632,-87.64289601,"(41.707026319812215, -87.64289600741817)"
CICERO AND 47TH,2204,4800 W 47TH ST,8/20/2014,10,1145130.049,1873078.442,41.80772702,-87.74322937,"(41.80772701677172, -87.74322936566276)"
LAFAYETTE AND 87TH,2503,30 W 87TH STREET,9/22/2014,10,1177407.652,1847320.772,41.73637604,-87.62562131,"(41.736376036604916, -87.62562131092602)"
PULASKI AND MONTROSE,1294,4000 W MONTROSE AVENUE,8/15/2014,1,1148917.522,1928980.339,41.9610558,-87.72789121,"(41.96105580370759, -87.72789120598296)"
PULASKI AND DIVISION,1802,1200 N PULASKI ROAD,7/27/2014,2,1149459.591,1907723.22,41.9027139,-87.72645146,"(41.902713901936174, -87.72645145715836)"
75TH AND STATE,2624,1 E 75TH STREET,7/27/2014,17,1177601.726,1855229.487,41.75807411,-87.62467166,"(41.75807411097799, -87.62467165835182)"
LAFAYETTE AND 87TH,2503,30 W 87TH STREET,7/6/2014,34,1177407.652,1847320.772,41.73637604,-87.62562131,"(41.736376036604916, -87.62562131092602)"
CERMAK AND PULASKI,2332,2200 S PULASKI,8/21/2014,9,1150012.877,1889071.759,41.85152144,-87.72490479,"(41.85152144233116, -87.7249047867499)"
KIMBALL AND DIVERSEY,1583,3400 W DIVERSEY AVENUE,7/7/2014,2,1153211.149,1918454.478,41.93208775,-87.71238583,"(41.932087747378944, -87.71238582951281)"
KIMBALL AND DIVERSEY,1583,3400 W DIVERSEY AVENUE,8/26/2014,1,1153211.149,1918454.478,41.93208775,-87.71238583,"(41.932087747378944, -87.71238582951281)"
KEDZIE AND 31ST,2134,3200 W 31ST STREET,10/13/2014,3,1155487.128,1883943.061,41.8373395,-87.70495056,"(41.83733950029648, -87.70495055800411)"
VAN BUREN AND WESTERN,2052,400 S WESTERN AVENUE,8/17/2014,31,1160431.682,1898091.942,41.87606478,-87.68641563,"(41.87606477642526, -87.68641563098768)"
LAFAYETTE AND 87TH,2502,8700 S LAFAYETTE AVEN,9/24/2014,5,1177417.493,1847243.988,41.73616511,-87.62558757,"(41.73616511008592, -87.62558756899932)"
WESTERN AND PRATT,1302,6800 N WESTERN AVENUE,7/18/2014,8,1159043.161,1945096.219,42.00507612,-87.69021903,"(42.00507612272344, -87.69021903022175)"
75TH AND STATE,2621,7500 S STATE STREET,9/2/2014,4,1177538.763,1855235.551,41.75809218,-87.62490223,"(41.75809217638291, -87.6249022282473)"
PULASKI AND LAWRENCE,1172,4800 N PULASKI ROAD,7/27/2014,1,1148821.702,1931605.975,41.9682626,-87.72817532,"(41.968262595100775, -87.7281753157596)"
DAMEN AND 63RD,2701,6300 S DAMEN AVENUE,9/6/2014,4,1164069.408,1862830.277,41.77922692,-87.67405273,"(41.77922692069256, -87.67405273137854)"
LAFAYETTE AND 87TH,2503,30 W 87TH STREET,10/15/2014,12,1177407.652,1847320.772,41.73637604,-87.62562131,"(41.736376036604916, -87.62562131092602)"
75TH AND STATE,2621,7500 S STATE STREET,8/15/2014,5,1177538.763,1855235.551,41.75809218,-87.62490223,"(41.75809217638291, -87.6249022282473)"
HALSTED AND 83RD,2641,8300 S HALSTED STREET,8/4/2014,6,1172378.203,1849790.2,41.74326449,-87.64397498,"(41.743264490643654, -87.64397498015705)"
ASHLAND AND IRVING PARK,1151,4000 N ASHLAND AVENUE,8/16/2014,4,1164899.464,1926665.661,41.95437933,-87.66919912,"(41.954379326212695, -87.66919911980419)"
CALIFORNIA AND PETERSON,1313,2800 W PETERSON AVENUE,9/25/2014,4,1156569.515,1939784.831,41.99055208,-87.6994644,"(41.990552081681564, -87.69946439622785)"
PULASKI AND FOSTER,1104,4000 W FOSTER AVE,9/15/2014,1,1148759.161,1934294.249,41.97564062,-87.72833547,"(41.975640616231914, -87.72833546926573)"
WESTERN AND 71ST,2612,7100 S WESTERN AVENUE,9/26/2014,8,1161563.705,1857484.211,41.76460891,-87.68338705,"(41.76460891223613, -87.68338705328121)"
HOLLYWOOD AND SHERIDAN,1343,1000 W HOLLYWOOD AVE,9/23/2014,6,1168580.229,1938090.295,41.9856498,-87.65533581,"(41.98564979859328, -87.65533580655139)"
WENTWORTH AND GARFIELD,2261,5500 S WENTWORTH AVEN,10/9/2014,5,,,,,
